name,stationcode,ebike,mechanical,x,y,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,nom_arrondissement_communes,is_returning,record_timestamp
Bellefond - Poissonnière,9001,0,0,2.348463758826256,48.87759897050706,2023-05-26T15:45:15+00:00,0,17,17,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Square Louis XVI,8016,3,8,2.323658830743138,48.87320440102894,2023-05-26T15:46:11+00:00,11,17,29,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Gay Lussac - Saint-Jacques,5005,0,0,2.341923944866407,48.844730256132095,2023-05-26T15:44:44+00:00,0,24,24,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Gare de Nogent-le-Perreux,41303,3,19,2.493693307042122,48.83842553348809,2023-05-26T15:45:29+00:00,22,7,32,OUI,OUI,Nogent-sur-Marne,OUI,2023-05-26T16:22:00.535Z
Gabriel Lamé,12031,11,21,2.385534569621086,48.8351212784276,2023-05-26T15:44:58+00:00,32,3,36,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Boudreau - Auber,9106,2,3,2.329423,48.87219,2023-05-26T15:46:09+00:00,5,9,14,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Verger - Colonel Guichard,21328,0,1,2.2670380088932,48.816376985087,2023-05-26T15:45:51+00:00,1,28,29,OUI,OUI,Issy-les-Moulineaux,OUI,2023-05-26T16:22:00.535Z
Place de la République - Voltaire,11046,5,8,2.3654810339212,48.866830968942,2023-05-26T15:46:11+00:00,13,2,19,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Pereire - Ternes,17040,0,5,2.288012132048607,48.87973954830735,2023-05-26T15:45:23+00:00,5,42,48,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Gare Saint-Lazare - Isly,8009,1,16,2.326515804784655,48.874777677621296,2023-05-26T15:41:44+00:00,17,6,27,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Quai de l'Horloge - Pont Neuf,1001,5,6,2.3417982839439,48.857058739111,2023-05-26T15:45:38+00:00,11,4,17,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Gare Rosny-Bois-Perrier,31103,15,5,2.480436824262142,48.88115023337061,2023-05-26T15:43:17+00:00,20,15,36,OUI,OUI,Rosny-sous-Bois,OUI,2023-05-26T16:22:00.535Z
Vigée-Lebrun - Anselme Payen,15112,0,2,2.3110422492027287,48.838683941628375,2023-05-26T15:46:12+00:00,2,21,24,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Octave Gréard - Tour Eiffel,7025,5,19,2.2931787543289,48.856502977696,2023-05-26T15:45:58+00:00,24,8,33,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Château - République,31706,1,0,2.4155035614967,48.862923800596,2023-05-26T15:46:12+00:00,1,24,26,OUI,OUI,Bagnolet,OUI,2023-05-26T16:22:00.535Z
Henri Barbusse - Stalingrad,22409,6,1,2.2872862592339516,48.814183748660554,2023-05-26T15:45:54+00:00,7,9,16,OUI,OUI,Malakoff,OUI,2023-05-26T16:22:00.535Z
Institut du Monde Arabe - Saint-Germain,5020,5,17,2.3558086529374,48.849063299501,2023-05-26T15:45:53+00:00,22,13,40,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Argenteuil - Voltaire,26003,2,5,2.2814112156629562,48.91864865955558,2023-05-26T15:46:09+00:00,7,9,16,OUI,OUI,Asnières-sur-Seine,OUI,2023-05-26T16:22:00.535Z
Legendre - Clichy,17004,1,0,2.322528975094376,48.88896161855884,2023-05-26T15:46:03+00:00,1,38,40,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Quai de la Seine,19003,0,0,2.3703941702842717,48.884492238407525,2023-05-26T15:44:03+00:00,0,22,24,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Lisbonne - Monceau,8036,0,0,2.309694221419506,48.87745567681383,2023-05-26T15:46:11+00:00,0,31,33,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Gare de Lyon - Place Louis Armand,12151,7,38,2.3726498446286,48.845515089794,2023-05-26T15:45:50+00:00,45,8,60,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Chartres - La Charbonnière,18107,0,0,2.3534657,48.8847601,2023-05-26T15:46:11+00:00,0,33,34,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Ranelagh - Mozart,16026,1,0,2.2704418,48.8554439,2023-05-26T15:44:22+00:00,1,21,23,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Place de Rhin et Danube,19026,0,0,2.392586767673493,48.88192765861766,2023-05-26T15:46:14+00:00,0,16,17,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Exelmans - Versailles,16039,2,19,2.264390252530575,48.84097491091973,2023-05-26T15:45:43+00:00,21,26,49,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
11 Novembre 1918 - 8 Mai 1945,45003,3,0,2.5382421165704727,48.80889533774377,2023-05-26T15:40:38+00:00,3,33,36,OUI,OUI,Champigny-sur-Marne,OUI,2023-05-26T16:22:00.535Z
Place Du Général De Gaulle,31009,4,0,2.4329931,48.8687591,2023-05-26T15:42:56+00:00,4,22,26,OUI,OUI,Montreuil,OUI,2023-05-26T16:22:00.535Z
Pereire - Rennequin,17030,1,1,2.2952447086572647,48.88364782887555,2023-05-26T15:44:05+00:00,2,21,23,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Berri - Haussmann,8034,2,0,2.3082953318953514,48.874746047357135,2023-05-26T15:46:14+00:00,2,30,35,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Amelot - Saint-Sébastien,11047,3,6,2.367799618107727,48.86114216276092,2023-05-26T15:46:15+00:00,9,18,30,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Delphine Seyrig - Général Leclerc,19043,1,0,2.39790290594101,48.893923963057865,2023-05-26T15:44:26+00:00,1,51,53,OUI,OUI,Pantin,OUI,2023-05-26T16:22:00.535Z
Panthéon - Valette,5032,2,3,2.3464982619671075,48.84702057165222,2023-05-26T15:46:15+00:00,5,32,39,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Pyrénées - Emmery,20042,0,0,2.392039597034455,48.872010281270974,2023-05-26T15:40:55+00:00,0,39,40,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Desaix - Edgar Faure,15067,2,9,2.293077029857222,48.852804604940296,2023-05-26T15:45:39+00:00,11,1,12,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Redoute - Les Courtilles,26002,5,4,2.283669635653496,48.92986719451888,2023-05-26T15:41:24+00:00,9,22,32,OUI,OUI,Asnières-sur-Seine,OUI,2023-05-26T16:22:00.535Z
Notre-Dame-des-Champs - Stanislas,6006,1,1,2.329337755887181,48.84479928858768,2023-05-26T15:45:12+00:00,2,16,19,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Récollets - Square Villemin,10016,2,3,2.359801238597928,48.875034655883944,2023-05-26T15:42:24+00:00,5,11,17,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Marne - Germain Dardan,21212,0,0,2.303070724010468,48.81154270401601,2023-05-26T15:41:56+00:00,0,21,22,OUI,OUI,Montrouge,OUI,2023-05-26T16:22:00.535Z
Henry Farman,15042,5,10,2.2713854536414146,48.83372430280548,2023-05-26T15:46:16+00:00,15,1,16,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Port-Royal - Hôpital du Val-de-Grâce,13001,4,2,2.3448138346607,48.837668272811,2023-05-26T15:43:56+00:00,6,10,18,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Grands Moulins de Pantin,19044,4,1,2.3959985375404362,48.89738369720229,2023-05-26T15:44:19+00:00,5,42,50,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Pajol - Place Herbert,18011,0,1,2.3635598,48.8927825,2023-05-26T15:46:13+00:00,1,37,39,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Gabriel Péri - Francisco Ferrer,33102,9,0,2.407338917255402,48.88633710236977,2023-05-26T15:43:29+00:00,9,9,18,OUI,OUI,Le Pré-Saint-Gervais,OUI,2023-05-26T16:22:00.535Z
Place de la Reine Astrid,8045,7,18,2.302549182385926,48.86492098253841,2023-05-26T15:43:51+00:00,25,30,58,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Hôpital Européen Georges Pompidou,15104,5,38,2.275374233722687,48.83769531916335,2023-05-26T15:44:38+00:00,43,20,64,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Concorde - Stalingrad,44006,7,6,2.3821302,48.7985844,2023-05-26T15:45:33+00:00,13,21,35,OUI,OUI,Vitry-sur-Seine,OUI,2023-05-26T16:22:00.535Z
Fédération - Suffren,15105,0,11,2.2978776320815086,48.852828153442346,2023-05-26T15:46:13+00:00,11,12,25,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Carducci - Place Hannah Arendt,19120,2,0,2.3860743641853337,48.877436681515796,2023-05-26T15:44:26+00:00,2,25,27,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Saint-Jacques - Val de Grâce,5004,2,0,2.3413893,48.8417514,2023-05-26T15:45:59+00:00,2,17,19,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Conservatoire de Musique,46003,11,5,2.4034014344215398,48.77093586667601,2023-05-26T15:46:06+00:00,16,9,25,OUI,OUI,Choisy-le-Roi,OUI,2023-05-26T16:22:00.535Z
Lucie Aubrac - Fort,21312,0,0,2.271184623241425,48.818144834008976,2023-05-26T15:42:49+00:00,0,30,30,OUI,OUI,Issy-les-Moulineaux,OUI,2023-05-26T16:22:00.535Z
